threads,time,problem_size,speedup,efficiency,karp_flatt
1,59.05764,100000000000,1.0,1.0,
2,33.288712,100000000000,1.77410408669,0.887052043347,0.127329571585
3,24.170142,100000000000,2.44341303415,0.814471011383,0.113895391011
4,17.288064,100000000000,3.41609332312,0.854023330779,0.0569760660941
5,14.770291,100000000000,3.9984073435,0.7996814687,0.062624475851
6,12.484971,100000000000,4.73029853253,0.788383088755,0.053683777408
7,11.355147,100000000000,5.20095776831,0.742993966902,0.0576509914721
8,9.837952,100000000000,6.00304209657,0.750380262071,0.0475225220649
9,9.056248,100000000000,6.52120392463,0.724578213848,0.0475141573554
10,7.893548,100000000000,7.48176105346,0.748176105346,0.0373981907995
11,7.505126,100000000000,7.86897381869,0.715361256245,0.0397895107221
12,7.009221,100000000000,8.42570665128,0.70214222094,0.0385648079648
