1;1000;3.24964523315e-07
1;1000;3.29971313477e-07
1;1000;3.36885452271e-07
1;1000;3.31163406372e-07
1;1000;3.23057174683e-07
1;10000;3.38697433472e-07
1;10000;3.47399711609e-07
1;10000;3.28493118286e-07
1;10000;3.42798233032e-07
1;10000;3.49092483521e-07
2;500;1.03187561035e-06
2;500;1.00564956665e-06
2;500;1.07574462891e-06
2;500;6.103515625e-07
2;500;9.83715057373e-07
2;5000;1.03120803833e-06
2;5000;1.19280815125e-06
2;5000;1.02863311768e-06
2;5000;1.03478431702e-06
2;5000;1.06039047241e-06
4;250;1.22833251953e-06
4;250;1.97219848633e-06
4;250;1.14822387695e-06
4;250;2.04849243164e-06
4;250;1.94835662842e-06
4;2500;1.13153457642e-06
4;2500;1.15594863892e-06
4;2500;1.28479003906e-06
4;2500;1.16119384766e-06
4;2500;3.0387878418e-06
8;125;5.33676147461e-06
8;125;5.10406494141e-06
8;125;5.10406494141e-06
8;125;5.40924072266e-06
8;125;4.47273254395e-06
8;1250;4.51107025146e-06
8;1250;4.50477600098e-06
8;1250;4.6257019043e-06
8;1250;4.22554016113e-06
8;1250;4.45690155029e-06
12;83;6.1098351536e-06
12;83;5.90301421751e-06
12;83;7.65237463526e-06
12;83;6.61252492882e-06
12;83;5.60140035239e-06
12;833;5.03970509102e-06
12;833;6.39379668493e-06
12;833;4.99877609125e-06
12;833;0.000105439400186
12;833;6.66026450864e-06
16;62;0.000432533602561
16;62;0.0042274344352
16;62;0.00296560025984
16;62;0.00117862993671
16;62;0.000712240895917
16;625;0.000149452972412
16;625;5.3018951416e-05
16;625;4.76448059082e-05
16;625;0.000196406555176
16;625;0.000307438278198
20;50;0.00214165687561
20;50;0.00247534275055
20;50;0.0163923978806
20;50;0.00216372013092
20;50;0.00628502368927
20;500;0.0012532582283
20;500;0.000949317932129
20;500;0.000389621734619
20;500;0.000398960113525
20;500;0.000506395816803
24;41;0.00624456056734
24;41;0.0124759267016
24;41;0.00413973156999
24;41;0.0057415148107
24;41;0.00185717024454
24;416;0.000375170547229
24;416;0.00146212715369
24;416;0.000853846279474
24;416;0.000322725910407
24;416;0.000367346291359
