std;1;100;10000;3.98269891739e-05
std;1;1000;10000;4.4250202179e-05
std;1;10000;10000;4.66852903366e-05
std;1;100000;10000;9.09881830215e-05
std;1;100;100000;3.24064707756e-05
std;1;1000;100000;3.52499318123e-05
std;1;10000;100000;3.84621810913e-05
std;1;100000;100000;8.38504195213e-05
std;1;100;1000000;3.24126229286e-05
std;1;1000;1000000;3.38699529171e-05
std;1;10000;1000000;3.75773668289e-05
std;1;100000;1000000;8.40194478035e-05
std;1;100;10000000;3.17732820034e-05
std;1;1000;10000000;3.4158931613e-05
std;1;10000;10000000;3.78772569895e-05
std;1;100000;10000000;8.37875270128e-05
