vector_size; nblocks; blocksize; time; cpu_time; incorret
1000; 1000; 1; 0.012800; 0.009000; 0
2000; 2000; 1; 0.022140; 0.015000; 0
3000; 3000; 1; 0.031470; 0.021000; 0
4000; 4000; 1; 0.040910; 0.029000; 0
5000; 5000; 1; 0.050130; 0.038000; 0
6000; 6000; 1; 0.059490; 0.041000; 0
7000; 7000; 1; 0.068830; 0.047000; 0
8000; 8000; 1; 0.078260; 0.099000; 0
9000; 9000; 1; 0.087540; 0.061000; 0
10000; 10000; 1; 0.096900; 0.066000; 0
11000; 11000; 1; 0.106190; 0.073000; 0
12000; 12000; 1; 0.115650; 0.137000; 0
13000; 13000; 1; 0.124990; 0.086000; 0
14000; 14000; 1; 0.134210; 0.093000; 0
15000; 15000; 1; 0.143590; 0.099000; 0
16000; 16000; 1; 0.153060; 0.174000; 0
17000; 17000; 1; 0.162390; 0.111000; 0
18000; 18000; 1; 0.171870; 0.122000; 0
19000; 19000; 1; 0.181040; 0.132000; 0
20000; 20000; 1; 0.190480; 0.219000; 0
21000; 21000; 1; 0.199780; 0.137000; 0
22000; 22000; 1; 0.209340; 0.144000; 0
23000; 23000; 1; 0.218540; 0.151000; 0
24000; 24000; 1; 0.228090; 0.155000; 0
25000; 25000; 1; 0.237080; 0.159000; 0
26000; 26000; 1; 0.246640; 0.167000; 0
27000; 27000; 1; 0.256230; 0.170000; 0
28000; 28000; 1; 0.265470; 0.298000; 0
29000; 29000; 1; 0.274640; 0.185000; 0
30000; 30000; 1; 0.284060; 0.191000; 0
31000; 31000; 1; 0.293950; 0.196000; 0
32000; 32000; 1; 0.303280; 0.340000; 0
33000; 33000; 1; 0.312100; 0.208000; 0
34000; 34000; 1; 0.321860; 0.215000; 0
35000; 35000; 1; 0.331270; 0.221000; 0
36000; 36000; 1; 0.341020; 0.226000; 0
37000; 37000; 1; 0.349710; 0.232000; 0
38000; 38000; 1; 0.359480; 0.245000; 0
39000; 39000; 1; 0.368520; 0.245000; 0
40000; 40000; 1; 0.378000; 0.251000; 0
41000; 41000; 1; 0.387590; 0.258000; 0
42000; 42000; 1; 0.396700; 0.266000; 0
43000; 43000; 1; 0.406780; 0.453000; 0
44000; 44000; 1; 0.415960; 0.281000; 0
45000; 45000; 1; 0.425740; 0.288000; 0
46000; 46000; 1; 0.434960; 0.491000; 0
47000; 47000; 1; 0.444080; 0.294000; 0
48000; 48000; 1; 0.453640; 0.301000; 0
49000; 49000; 1; 0.462470; 0.308000; 0
50000; 50000; 1; 0.472640; 0.320000; 0
51000; 51000; 1; 0.483190; 0.320000; 0
52000; 52000; 1; 0.491650; 0.332000; 0
53000; 53000; 1; 0.500530; 0.564000; 0
54000; 54000; 1; 0.510430; 0.339000; 0
55000; 55000; 1; 0.519600; 0.344000; 0
56000; 56000; 1; 0.528710; 0.350000; 0
57000; 57000; 1; 0.537400; 0.358000; 0
58000; 58000; 1; 0.547120; 0.362000; 0
59000; 59000; 1; 0.557570; 0.371000; 0
60000; 60000; 1; 0.566300; 0.630000; 0
61000; 61000; 1; 0.576610; 0.382000; 0
62000; 62000; 1; 0.597050; 0.395000; 0
63000; 63000; 1; 0.620770; 0.671000; 0
64000; 64000; 1; 0.627990; 0.401000; 0
65000; 65000; 1; 0.649220; 0.413000; 0
66000; 66000; 1; 0.000540; 0.420000; 0
67000; 67000; 1; 0.000840; 0.717000; 0
68000; 68000; 1; 0.000560; 0.426000; 0
69000; 69000; 1; 0.000570; 0.432000; 0
70000; 70000; 1; 0.000570; 0.445000; 0
71000; 71000; 1; 0.000790; 0.751000; 0
72000; 72000; 1; 0.000590; 0.449000; 0
73000; 73000; 1; 0.000590; 0.459000; 0
74000; 74000; 1; 0.000610; 0.464000; 0
75000; 75000; 1; 0.000610; 0.477000; 0
76000; 76000; 1; 0.000620; 0.474000; 0
77000; 77000; 1; 0.000630; 0.496000; 0
78000; 78000; 1; 0.000640; 0.487000; 0
79000; 79000; 1; 0.000650; 0.491000; 0
80000; 80000; 1; 0.000930; 0.841000; 0
81000; 81000; 1; 0.000660; 0.515000; 0
82000; 82000; 1; 0.000670; 0.521000; 0
83000; 83000; 1; 0.000680; 0.517000; 0
84000; 84000; 1; 0.000780; 0.889000; 0
85000; 85000; 1; 0.000700; 0.528000; 0
86000; 86000; 1; 0.000700; 0.534000; 0
87000; 87000; 1; 0.000700; 0.543000; 0
88000; 88000; 1; 0.000720; 0.560000; 0
89000; 89000; 1; 0.000720; 0.552000; 0
90000; 90000; 1; 0.000730; 0.569000; 0
91000; 91000; 1; 0.000740; 0.577000; 0
92000; 92000; 1; 0.000750; 0.582000; 0
93000; 93000; 1; 0.000830; 0.975000; 0
94000; 94000; 1; 0.000760; 0.591000; 0
95000; 95000; 1; 0.000770; 0.591000; 0
96000; 96000; 1; 0.000830; 0.604000; 0
97000; 97000; 1; 0.000830; 1.021000; 0
98000; 98000; 1; 0.000790; 0.614000; 0
99000; 99000; 1; 0.000810; 0.615000; 0
100000; 100000; 1; 0.000820; 0.625000; 0
101000; 101000; 1; 0.000830; 1.062000; 0
102000; 102000; 1; 0.000840; 0.638000; 0
103000; 103000; 1; 0.000850; 0.643000; 0
104000; 104000; 1; 0.000850; 0.654000; 0
105000; 105000; 1; 0.000860; 0.653000; 0
106000; 106000; 1; 0.000860; 0.660000; 0
107000; 107000; 1; 0.000870; 0.671000; 0
108000; 108000; 1; 0.000890; 0.675000; 0
109000; 109000; 1; 0.000880; 0.680000; 0
110000; 110000; 1; 0.000880; 1.156000; 0
111000; 111000; 1; 0.000900; 0.695000; 0
112000; 112000; 1; 0.000910; 0.697000; 0
113000; 113000; 1; 0.000920; 0.711000; 0
114000; 114000; 1; 0.000910; 1.200000; 0
115000; 115000; 1; 0.000940; 0.720000; 0
116000; 116000; 1; 0.000950; 0.725000; 0
117000; 117000; 1; 0.000960; 0.735000; 0
118000; 118000; 1; 0.000960; 0.735000; 0
119000; 119000; 1; 0.000980; 0.748000; 0
120000; 120000; 1; 0.000980; 0.748000; 0
121000; 121000; 1; 0.000980; 0.759000; 0
122000; 122000; 1; 0.001000; 0.772000; 0
123000; 123000; 1; 0.001010; 0.770000; 0
124000; 124000; 1; 0.001010; 0.778000; 0
125000; 125000; 1; 0.001020; 0.843000; 0
126000; 126000; 1; 0.001030; 0.786000; 0
127000; 127000; 1; 0.001020; 1.336000; 0
128000; 128000; 1; 0.001040; 0.802000; 0
129000; 129000; 1; 0.001040; 0.809000; 0
130000; 130000; 1; 0.001060; 0.821000; 0
131000; 131000; 1; 0.001050; 1.392000; 0
132000; 132000; 1; 0.001060; 0.825000; 0
133000; 133000; 1; 0.001080; 0.835000; 0
134000; 134000; 1; 0.001080; 0.838000; 0
135000; 135000; 1; 0.001090; 0.850000; 0
136000; 136000; 1; 0.001100; 0.855000; 0
137000; 137000; 1; 0.001110; 0.860000; 0
138000; 138000; 1; 0.001120; 0.865000; 0
139000; 139000; 1; 0.001100; 1.461000; 0
140000; 140000; 1; 0.001130; 0.874000; 0
141000; 141000; 1; 0.001150; 0.885000; 0
