vector_size; nblocks; blocksize; time; cpu_time; incorret
1000; 16; 64; 0.003610; 0.008000; 0
2000; 32; 64; 0.003680; 0.016000; 0
3000; 47; 64; 0.003770; 0.021000; 0
4000; 63; 64; 0.003840; 0.028000; 0
5000; 79; 64; 0.004980; 0.063000; 0
6000; 94; 64; 0.004080; 0.040000; 0
7000; 110; 64; 0.004190; 0.046000; 0
8000; 125; 64; 0.004210; 0.054000; 0
9000; 141; 64; 0.005060; 0.061000; 0
10000; 157; 64; 0.005180; 0.068000; 0
11000; 172; 64; 0.005200; 0.075000; 0
12000; 188; 64; 0.005280; 0.078000; 0
13000; 204; 64; 0.005410; 0.084000; 0
14000; 219; 64; 0.005610; 0.152000; 0
15000; 235; 64; 0.005620; 0.096000; 0
16000; 250; 64; 0.005720; 0.103000; 0
17000; 266; 64; 0.006230; 0.112000; 0
18000; 282; 64; 0.006540; 0.196000; 0
19000; 297; 64; 0.006460; 0.124000; 0
20000; 313; 64; 0.006560; 0.130000; 0
21000; 329; 64; 0.006680; 0.136000; 0
22000; 344; 64; 0.006810; 0.142000; 0
23000; 360; 64; 0.006870; 0.150000; 0
24000; 375; 64; 0.006960; 0.152000; 0
25000; 391; 64; 0.007430; 0.156000; 0
26000; 407; 64; 0.007550; 0.166000; 0
27000; 422; 64; 0.007760; 0.285000; 0
28000; 438; 64; 0.007780; 0.178000; 0
29000; 454; 64; 0.007930; 0.184000; 0
30000; 469; 64; 0.008030; 0.190000; 0
31000; 485; 64; 0.008250; 0.342000; 0
32000; 500; 64; 0.008260; 0.203000; 0
33000; 516; 64; 0.008680; 0.208000; 0
34000; 532; 64; 0.008810; 0.220000; 0
35000; 547; 64; 0.008930; 0.221000; 0
36000; 563; 64; 0.009150; 0.379000; 0
37000; 579; 64; 0.009230; 0.232000; 0
38000; 594; 64; 0.009290; 0.248000; 0
39000; 610; 64; 0.009430; 0.244000; 0
40000; 625; 64; 0.009550; 0.252000; 0
41000; 641; 64; 0.009880; 0.259000; 0
42000; 657; 64; 0.010100; 0.273000; 0
43000; 672; 64; 0.010180; 0.271000; 0
44000; 688; 64; 0.010320; 0.461000; 0
45000; 704; 64; 0.010420; 0.282000; 0
46000; 719; 64; 0.010580; 0.287000; 0
47000; 735; 64; 0.010720; 0.302000; 0
48000; 750; 64; 0.010820; 0.513000; 0
49000; 766; 64; 0.010960; 0.318000; 0
50000; 782; 64; 0.011350; 0.315000; 0
51000; 797; 64; 0.011460; 0.324000; 0
52000; 813; 64; 0.011570; 0.326000; 0
53000; 829; 64; 0.011710; 0.334000; 0
54000; 844; 64; 0.011900; 0.340000; 0
55000; 860; 64; 0.012010; 0.343000; 0
56000; 875; 64; 0.012100; 0.349000; 0
57000; 891; 64; 0.012270; 0.366000; 0
58000; 907; 64; 0.012640; 0.364000; 0
59000; 922; 64; 0.012780; 0.370000; 0
60000; 938; 64; 0.012910; 0.376000; 0
61000; 954; 64; 0.013250; 0.389000; 0
62000; 969; 64; 0.013580; 0.386000; 0
63000; 985; 64; 0.014030; 0.394000; 0
64000; 1000; 64; 0.014080; 0.400000; 0
65000; 1016; 64; 0.014590; 0.413000; 0
66000; 1032; 64; 0.015000; 0.696000; 0
67000; 1047; 64; 0.015290; 0.419000; 0
68000; 1063; 64; 0.015650; 0.424000; 0
69000; 1079; 64; 0.016100; 0.432000; 0
70000; 1094; 64; 0.016430; 0.741000; 0
71000; 1110; 64; 0.016940; 0.445000; 0
72000; 1125; 64; 0.017140; 0.453000; 0
73000; 1141; 64; 0.017320; 0.455000; 0
74000; 1157; 64; 0.017520; 0.464000; 0
75000; 1172; 64; 0.017970; 0.469000; 0
76000; 1188; 64; 0.018050; 0.474000; 0
77000; 1204; 64; 0.018270; 0.485000; 0
78000; 1219; 64; 0.018350; 0.485000; 0
79000; 1235; 64; 0.018560; 0.831000; 0
80000; 1250; 64; 0.018770; 0.498000; 0
81000; 1266; 64; 0.018940; 0.506000; 0
82000; 1282; 64; 0.019060; 0.518000; 0
83000; 1297; 64; 0.019260; 0.871000; 0
84000; 1313; 64; 0.019530; 0.528000; 0
85000; 1329; 64; 0.019790; 0.535000; 0
86000; 1344; 64; 0.019940; 0.542000; 0
87000; 1360; 64; 0.020020; 0.545000; 0
88000; 1375; 64; 0.020200; 0.927000; 0
89000; 1391; 64; 0.020440; 0.560000; 0
90000; 1407; 64; 0.020560; 0.565000; 0
91000; 1422; 64; 0.020880; 0.570000; 0
92000; 1438; 64; 0.021110; 0.977000; 0
93000; 1454; 64; 0.021410; 0.586000; 0
94000; 1469; 64; 0.021590; 0.595000; 0
95000; 1485; 64; 0.021680; 0.592000; 0
96000; 1500; 64; 0.021800; 0.604000; 0
97000; 1516; 64; 0.022050; 0.621000; 0
98000; 1532; 64; 0.022280; 0.617000; 0
99000; 1547; 64; 0.022340; 0.623000; 0
100000; 1563; 64; 0.022570; 1.051000; 0
101000; 1579; 64; 0.022840; 0.631000; 0
102000; 1594; 64; 0.023070; 0.641000; 0
103000; 1610; 64; 0.023270; 0.643000; 0
104000; 1625; 64; 0.023410; 1.095000; 0
105000; 1641; 64; 0.023580; 0.657000; 0
106000; 1657; 64; 0.023830; 0.660000; 0
107000; 1672; 64; 0.024000; 0.665000; 0
108000; 1688; 64; 0.024030; 0.670000; 0
109000; 1704; 64; 0.024290; 1.143000; 0
110000; 1719; 64; 0.024580; 0.689000; 0
111000; 1735; 64; 0.024710; 0.701000; 0
112000; 1750; 64; 0.024900; 0.708000; 0
113000; 1766; 64; 0.025020; 1.196000; 0
114000; 1782; 64; 0.025190; 0.717000; 0
115000; 1797; 64; 0.025370; 0.721000; 0
116000; 1813; 64; 0.025580; 0.728000; 0
117000; 1829; 64; 0.025810; 0.728000; 0
118000; 1844; 64; 0.026060; 0.743000; 0
119000; 1860; 64; 0.026240; 0.760000; 0
120000; 1875; 64; 0.026360; 0.936000; 0
121000; 1891; 64; 0.026560; 1.276000; 0
122000; 1907; 64; 0.026750; 0.769000; 0
123000; 1922; 64; 0.026980; 0.766000; 0
124000; 1938; 64; 0.027190; 0.779000; 0
125000; 1954; 64; 0.027390; 1.318000; 0
126000; 1969; 64; 0.027570; 0.795000; 0
