vector_size; nblocks; blocksize; time; cpu_time; incorret
50000; 50000; 1; 0.525600; 0.323000; 0
50000; 25000; 2; 0.293800; 0.324000; 0
50000; 16667; 3; 0.212400; 0.324000; 0
50000; 12500; 4; 0.175400; 0.324000; 0
50000; 10000; 5; 0.150200; 0.328000; 0
50000; 8334; 6; 0.137200; 0.324000; 0
50000; 7143; 7; 0.123700; 0.325000; 0
50000; 6250; 8; 0.114900; 0.318000; 0
50000; 5556; 9; 0.109100; 0.322000; 0
50000; 5000; 10; 0.103800; 0.323000; 0
50000; 4546; 11; 0.099500; 0.533000; 0
50000; 4167; 12; 0.095900; 0.318000; 0
50000; 3847; 13; 0.092800; 0.316000; 0
50000; 3572; 14; 0.090700; 0.323000; 0
50000; 3334; 15; 0.091500; 0.536000; 0
50000; 3125; 16; 0.085700; 0.317000; 0
50000; 2942; 17; 0.085200; 0.323000; 0
50000; 2778; 18; 0.083000; 0.320000; 0
50000; 2632; 19; 0.082400; 0.540000; 0
50000; 2500; 20; 0.080800; 0.337000; 0
50000; 2381; 21; 0.079400; 0.319000; 0
50000; 2273; 22; 0.081300; 0.320000; 0
50000; 2174; 23; 0.077700; 0.543000; 0
50000; 2084; 24; 0.078700; 0.322000; 0
50000; 2000; 25; 0.076500; 0.325000; 0
50000; 1924; 26; 0.075300; 0.331000; 0
50000; 1852; 27; 0.075800; 0.545000; 0
50000; 1786; 28; 0.074300; 0.330000; 0
50000; 1725; 29; 0.073700; 0.324000; 0
50000; 1667; 30; 0.073300; 0.330000; 0
50000; 1613; 31; 0.073000; 0.538000; 0
50000; 1563; 32; 0.071000; 0.323000; 0
50000; 1516; 33; 0.072100; 0.323000; 0
50000; 1471; 34; 0.071800; 0.327000; 0
50000; 1429; 35; 0.071300; 0.324000; 0
50000; 1389; 36; 0.070400; 0.321000; 0
50000; 1352; 37; 0.070300; 0.325000; 0
50000; 1316; 38; 0.071000; 0.372000; 0
50000; 1283; 39; 0.069900; 0.315000; 0
50000; 1250; 40; 0.068900; 0.316000; 0
50000; 1220; 41; 0.069000; 0.316000; 0
50000; 1191; 42; 0.068900; 0.317000; 0
50000; 1163; 43; 0.068700; 0.316000; 0
50000; 1137; 44; 0.068100; 0.316000; 0
50000; 1112; 45; 0.068000; 0.318000; 0
50000; 1087; 46; 0.067400; 0.317000; 0
50000; 1064; 47; 0.067500; 0.321000; 0
50000; 1042; 48; 0.067000; 0.316000; 0
50000; 1021; 49; 0.067200; 0.316000; 0
50000; 1000; 50; 0.066600; 0.317000; 0
50000; 981; 51; 0.066800; 0.320000; 0
50000; 962; 52; 0.066700; 0.540000; 0
50000; 944; 53; 0.075800; 0.318000; 0
50000; 926; 54; 0.066100; 0.325000; 0
50000; 910; 55; 0.071100; 0.326000; 0
50000; 893; 56; 0.065400; 0.316000; 0
50000; 878; 57; 0.065800; 0.320000; 0
50000; 863; 58; 0.065800; 0.321000; 0
50000; 848; 59; 0.065300; 0.320000; 0
50000; 834; 60; 0.065000; 0.325000; 0
50000; 820; 61; 0.065400; 0.320000; 0
50000; 807; 62; 0.065000; 0.320000; 0
50000; 794; 63; 0.064900; 0.319000; 0
50000; 782; 64; 0.063800; 0.399000; 0
50000; 770; 65; 0.066700; 0.325000; 0
50000; 758; 66; 0.064700; 0.319000; 0
50000; 747; 67; 0.064800; 0.319000; 0
50000; 736; 68; 0.064100; 0.366000; 0
50000; 725; 69; 0.064400; 0.320000; 0
50000; 715; 70; 0.063900; 0.325000; 0
50000; 705; 71; 0.063900; 0.319000; 0
50000; 695; 72; 0.063500; 0.320000; 0
50000; 685; 73; 0.063900; 0.319000; 0
50000; 676; 74; 0.063100; 0.326000; 0
50000; 667; 75; 0.063700; 0.323000; 0
50000; 658; 76; 0.065500; 0.325000; 0
50000; 650; 77; 0.065500; 0.319000; 0
50000; 642; 78; 0.063700; 0.316000; 0
50000; 633; 79; 0.065000; 0.321000; 0
50000; 625; 80; 0.062700; 0.318000; 0
50000; 618; 81; 0.068200; 0.527000; 0
50000; 610; 82; 0.063400; 0.322000; 0
50000; 603; 83; 0.062900; 0.322000; 0
50000; 596; 84; 0.062900; 0.318000; 0
50000; 589; 85; 0.063200; 0.530000; 0
50000; 582; 86; 0.063000; 0.317000; 0
50000; 575; 87; 0.066200; 0.319000; 0
50000; 569; 88; 0.062500; 0.326000; 0
50000; 562; 89; 0.066700; 0.531000; 0
50000; 556; 90; 0.062500; 0.320000; 0
50000; 550; 91; 0.062600; 0.325000; 0
50000; 544; 92; 0.062600; 0.320000; 0
50000; 538; 93; 0.062400; 0.406000; 0
50000; 532; 94; 0.062600; 0.318000; 0
50000; 527; 95; 0.062500; 0.319000; 0
50000; 521; 96; 0.061800; 0.320000; 0
50000; 516; 97; 0.062800; 0.541000; 0
50000; 511; 98; 0.062400; 0.319000; 0
50000; 506; 99; 0.062700; 0.320000; 0
50000; 500; 100; 0.062400; 0.321000; 0
50000; 496; 101; 0.062300; 0.320000; 0
50000; 491; 102; 0.062200; 0.320000; 0
50000; 486; 103; 0.062500; 0.327000; 0
50000; 481; 104; 0.062200; 0.325000; 0
50000; 477; 105; 0.061800; 0.324000; 0
50000; 472; 106; 0.062100; 0.320000; 0
50000; 468; 107; 0.062200; 0.325000; 0
50000; 463; 108; 0.062100; 0.318000; 0
50000; 459; 109; 0.062100; 0.325000; 0
50000; 455; 110; 0.062600; 0.321000; 0
50000; 451; 111; 0.075600; 0.320000; 0
50000; 447; 112; 0.061600; 0.326000; 0
50000; 443; 113; 0.062000; 0.320000; 0
50000; 439; 114; 0.062000; 0.322000; 0
50000; 435; 115; 0.061600; 0.321000; 0
50000; 432; 116; 0.062100; 0.316000; 0
50000; 428; 117; 0.061700; 0.321000; 0
50000; 424; 118; 0.061700; 0.317000; 0
50000; 421; 119; 0.061600; 0.321000; 0
50000; 417; 120; 0.061300; 0.317000; 0
50000; 414; 121; 0.061700; 0.319000; 0
50000; 410; 122; 0.061800; 0.317000; 0
50000; 407; 123; 0.061600; 0.317000; 0
50000; 404; 124; 0.061700; 0.316000; 0
50000; 400; 125; 0.061500; 0.535000; 0
50000; 397; 126; 0.062500; 0.542000; 0
50000; 394; 127; 0.061800; 0.330000; 0
50000; 391; 128; 0.060800; 0.331000; 0
50000; 388; 129; 0.061900; 0.333000; 0
50000; 385; 130; 0.061800; 0.363000; 0
50000; 382; 131; 0.061600; 0.332000; 0
50000; 379; 132; 0.061800; 0.337000; 0
50000; 376; 133; 0.061900; 0.327000; 0
50000; 374; 134; 0.062000; 0.327000; 0
50000; 371; 135; 0.061800; 0.333000; 0
50000; 368; 136; 0.072200; 0.320000; 0
50000; 365; 137; 0.061800; 0.321000; 0
50000; 363; 138; 0.061500; 0.334000; 0
50000; 360; 139; 0.061200; 0.315000; 0
50000; 358; 140; 0.061700; 0.323000; 0
50000; 355; 141; 0.061400; 0.324000; 0
50000; 353; 142; 0.061400; 0.335000; 0
50000; 350; 143; 0.061500; 0.322000; 0
50000; 348; 144; 0.061400; 0.338000; 0
50000; 345; 145; 0.061200; 0.340000; 0
50000; 343; 146; 0.060600; 0.347000; 0
50000; 341; 147; 0.061200; 0.343000; 0
50000; 338; 148; 0.061100; 0.320000; 0
50000; 336; 149; 0.062100; 0.323000; 0
50000; 334; 150; 0.061900; 0.320000; 0
50000; 332; 151; 0.061800; 0.317000; 0
50000; 329; 152; 0.060900; 0.320000; 0
50000; 327; 153; 0.061200; 0.317000; 0
50000; 325; 154; 0.061300; 0.321000; 0
50000; 323; 155; 0.061600; 0.323000; 0
50000; 321; 156; 0.061100; 0.320000; 0
50000; 319; 157; 0.061700; 0.315000; 0
50000; 317; 158; 0.061200; 0.317000; 0
50000; 315; 159; 0.060800; 0.322000; 0
50000; 313; 160; 0.060400; 0.320000; 0
50000; 311; 161; 0.061300; 0.323000; 0
50000; 309; 162; 0.060900; 0.322000; 0
50000; 307; 163; 0.060800; 0.322000; 0
50000; 305; 164; 0.061200; 0.322000; 0
50000; 304; 165; 0.060700; 0.327000; 0
50000; 302; 166; 0.061400; 0.324000; 0
50000; 300; 167; 0.061300; 0.317000; 0
50000; 298; 168; 0.061000; 0.337000; 0
50000; 296; 169; 0.060700; 0.314000; 0
50000; 295; 170; 0.061300; 0.325000; 0
50000; 293; 171; 0.061100; 0.322000; 0
50000; 291; 172; 0.061000; 0.325000; 0
