1;1;25.0339508057;27.8949737549
64;1;20.0271606445;20.9808349609
128;1;23.1266021729;20.0271606445
256;1;21.9345092773;20.0271606445
1024;1;23.1266021729;19.0734863281
2056;1;27.1797180176;144.0047607422
4096;1;7622.0035552979;2254.9628906250
1048576;1;818.0141448975;28342.0000000000
2097152;1;1458.1680297852;45515.0312500000
10485760;1;8358.9553833008;260787.0000000001
104857600;1;93632.9364776611;2254944.0000000009
1;10;17.8098678589;61.6788635254
64;10;17.5952911377;19.2165374756
128;10;19.2165374756;25.5107879639
256;10;18.0959701538;3.0994415283
1024;10;19.2880630493;872.2065429688
2056;10;19.0973281860;53.0004272461
4096;10;9.1075897217;69.3082275391
1048576;10;357.6993942261;2562.9042968750
2097152;10;675.7020950317;6060.1914062500
10485760;10;6803.7033081055;28783.3906250000
104857600;10;48796.4868545532;264753.5000000001
1;100;3.6501884460;5.9890747070
64;100;4.0197372437;1.0585784912
128;100;3.1805038452;5.7315826416
256;100;3.7503242493;5.8794021606
1024;100;4.3392181396;1.1610984802
2056;100;3.9792060852;5.8794021606
4096;100;4.0388107300;59.2207641602
1048576;100;648.5509872437;863.5493164063
2097152;100;10416.4505004883;11191.2578125000
10485760;100;7974.2789268494;12530.8281250000
104857600;100;43560.1496696472;64880.8125000000
1;1000;2.6860237122;2.8731822968
64;1000;3.2310485840;3.6771297455
128;1000;4.9588680267;4.9579124451
256;1000;2.7439594269;0.9069442749
1024;1000;2.9971599579;1.6529560089
2056;1000;3.0620098114;3.5040378571
4096;1000;2454.1521072388;2446.5566406250
1048576;1000;326.4479637146;352.0817871094
2097152;1000;626.5900135040;672.9545898438
10485760;1000;3861.2849712372;4070.5546875000
104857600;1000;37700.9341716766;39875.8125000000
1;10000;1.6783952713;1.7200946808
64;10000;1.9600868225;101.5073852539
128;10000;1.1619806290;0.7765054703
256;10000;2.0705938339;2.1707057953
1024;10000;1.0750055313;1.4661073685
2056;10000;1.5143156052;1.5479087830
4096;10000;3.3440828323;3.3764839172
1048576;10000;292.8225040436;297.0595703125
2097152;10000;598.7738847733;603.0756835938
10485760;10000;3214.3528938293;3234.3964843750
104857600;10000;36047.9710817337;36249.9062500000
1;100000;0.4808211327;0.5174708366
64;100000;0.5695009232;0.6802201271
128;100000;0.8703303337;0.8657097816
256;100000;0.6713294983;10.6856689453
1024;100000;1.9332814217;2.0551071167
2056;100000;1.0449218750;1.0615587234
4096;100000;3.3754110336;3.3770008087
1048576;100000;290.0700306892;290.3007812500
2097152;100000;583.6294388771;584.0405273438
10485760;100000;3705.5319905281;3707.9687500000
104857600;100000;42504.1101217270;42526.1250000000
1;1000000;0.6947050095;1.7071847916
64;1000000;0.6055030823;0.6170220375
128;1000000;0.5792860985;1.5810699463
256;1000000;0.7390060425;1.7510423660
1024;1000000;0.9939930439;4.0107154846
2056;1000000;0.9812281132;0.9953718185
4096;1000000;3.0890910625;3.0892887115
1048576;1000000;284.8381478786;284.8549804688
2097152;1000000;651.2941169739;651.3901367188
10485760;1000000;3781.2619590759;3781.5195312500
