problem_size,size_per_proc,procs,time,pi,speedup,efficiency,karp_flatt,speedup_scal,efficiency_scal,karp_flatt_scal
50000000,50000000,1,7.866663,3.141829,1.0,1.0,,12.711870331803969,12.711870331803969,
50000000,25000000,2,3.826513,3.141933,2.0558307263035562,1.0279153631517781,-0.027157258420756003,26.133453616909183,13.066726808454591,-0.92346974
50000000,16666666,3,2.540608,3.141722,3.0963702389349317,1.0321234129783106,-0.015561808100842648,39.360656976597724,13.120218992199241,-0.46189087999999995
50000000,12500000,4,3.215493,3.141554,2.4464873660119926,0.6116218415029981,0.21166573425097787,31.099430165141086,7.774857541285272,-0.29046009333333334
50000000,10000000,5,3.069849,3.14159,2.5625569857019026,0.5125113971403805,0.237794030327726,32.57489212010102,6.514978424020204,-0.2116268875
50000000,8333333,6,2.59113,3.141413,3.0359970360421897,0.5059995060070316,0.19525730287416662,38.5932006499095,6.432200108318249,-0.16890644
50000000,7142857,7,1.56112,3.14162,5.0391148662498715,0.7198735523214103,0.06485547514450114,64.05657476683406,9.150939252404866,-0.1484536
50000000,6250000,8,1.673997,3.141453,4.699329210267402,0.5874161512834253,0.10033866056947252,59.73726356737796,7.467157945922245,-0.12372574857142858
50000000,5555555,9,1.524023,3.141157,5.161774461409047,0.5735304957121163,0.09294830603522738,65.61580763544907,7.290645292827675,-0.10785474125000001
50000000,5000000,10,1.43153,3.141301,5.495283368144572,0.5495283368144572,0.09108248595652593,69.85532961237277,6.985532961237277,-0.09520522222222222
50000000,4545454,11,1.361204,3.141416,5.779194742301668,0.5253813402092425,0.0903379361744618,73.46437418638205,6.678579471489277,-0.085026756
50000000,4166666,12,1.329486,3.141714,5.91707095825003,0.49308924652083586,0.09345731243580435,75.21703876535744,6.268086563779787,-0.07640560727272726
